title,url,release_date,critic_score,audience_score,release_year,title_clean,id,popularity,vote_count,vote_average,overview
Taking Off,https://www.rottentomatoes.com/m/taking_off,"Released Mar 28, 1971",100.0,84.0,1971.0,taking off,59881,0.8804,104,6.9,"Unable to deal with her parents, Jeannie Tyne runs away from home. Larry and Lynn Tyne search for her, and in the process meet other people whose children ran away. With their children gone, the parents are now free to rediscover/enjoy life."
The Big Doll House,https://www.rottentomatoes.com/m/big_doll_house,1971,100.0,50.0,1971.0,the big doll house,42517,2.2058,79,5.6,Female prisoners in a Philippine jail are being subjected to sadistic torture. Five of the women -- along with the help of two men -- plot an escape.
The New Land,https://www.rottentomatoes.com/m/the_new_land,"Released Feb 26, 1972",100.0,86.0,1972.0,the new land,42488,0.6562,104,7.5,"A Swedish immigrant family struggles to adapt to their new life on the American frontier during the second half of the 19th century amidst civil war, native uprising and the lure of gold in California."
The Hospital,https://www.rottentomatoes.com/m/the_hospital,"Released Dec 14, 1971",100.0,73.0,1971.0,the hospital,32082,1.0591,103,6.6,"Dr. Bock, the chief of medicine at a Manhattan hospital, is suicidal after the collapse of his personal life. When an intern is found dead in a hospital bed, it appears to Bock to be a case of unforgivable malpractice. Hours later, another doctor,  who happens to be responsible for another case of malpractice, is found dead. Despondent, Bock finds himself drawn to Barbara, the daughter of a comatose missionary."
The Go-Between,https://www.rottentomatoes.com/m/gobetween,"Released Jul 29, 1971",100.0,78.0,1971.0,the gobetween,36194,1.2656,155,6.777,"British teenager Leo Colston spends a summer in the countryside, where he develops a crush on the beautiful young aristocrat Marian. Eager to impress her, Leo becomes the ""go-between"" for Marian, delivering secret romantic letters to Ted Burgess, a handsome neighboring farmer."
On a Clear Day You Can See Forever,https://www.rottentomatoes.com/m/on_a_clear_day_you_can_see_forever,"Released Jun 17, 1970",100.0,75.0,1970.0,on a clear day you can see forever,38222,1.2816,63,6.69,"Daisy Gamble, an unusual woman who hears phones before they ring, and does wonders with her flowers, wants to quit smoking to please her fiancé, Warren. She goes to a doctor of hypnosis to do it. But once she's under, her doctor finds out that she can regress into past lives and different personalities, and he finds himself falling in love with one of them."
Days and Nights in the Forest,https://www.rottentomatoes.com/m/days_and_nights_in_the_forest,1970,100.0,97.0,1970.0,days and nights in the forest,35867,1.1396,36,6.9,"Four friends from Calcutta who have very different personalities make a holiday excursion into the country, to a tiny village in the state of Bihar where they set themselves up in a bungalow. A series of minor events, all connected to their respective reactions to their new environment, reveals their characters more deeply."
Lovers and Other Strangers,https://www.rottentomatoes.com/m/lovers_and_other_strangers,"Released Aug 12, 1970",100.0,75.0,1970.0,lovers and other strangers,42593,0.932,23,4.9,"Mike Vecchio and Susan Henderson are preparing for their upcoming wedding. However, they seem to be the only two people at the wedding that are happy. Mike's brother Richie and his wife Joan are going through a divorce, which is upsetting his overly devout Catholic mother Beatrice. Also, Susan's father is carrying on an affair and her sex starved older sister Wilma is going through her troubles with her husband Johnny. All this is going on while Mike's best friend Jerry is trying to bed the maid of honor, Susan's cousin Brenda."
I Never Sang for My Father,https://www.rottentomatoes.com/m/i_never_sang_for_my_father,"Released Oct 18, 1970",100.0,83.0,1970.0,i never sang for my father,92283,0.5954,39,6.6,A man living in the towering shadow of his aging father finds it difficult to start a new chapter in his life by marrying his girlfriend and moving to California.
Fat City,https://www.rottentomatoes.com/m/fat_city,"Released Jul 26, 1972",100.0,84.0,1972.0,fat city,16993,1.3399,178,7.1,"The story of two men, a veteran boxer who is down and out, and a young man who is just starting his life and boxing career. Their fighting careers cross paths as their lives and fortunes head in opposite directions. Director John Huston tells their stories with a level, unsentimental honesty and makes it into one of his best films."
