title,url,release_date,critic_score,audience_score,release_year,title_clean
Alambrista,https://www.rottentomatoes.com/m/alambrista,"Released Oct 16, 1977",100.0,78.0,1977.0,alambrista
Babylon,https://www.rottentomatoes.com/m/babylon,"Released Mar 8, 2019",100.0,46.0,2019.0,babylon
The Lonely Passion of Judith Hearne,https://www.rottentomatoes.com/m/lonely_passion_of_judith_hearne,"Released Dec 23, 1987",100.0,77.0,1987.0,the lonely passion of judith hearne
Taking Off,https://www.rottentomatoes.com/m/taking_off,"Released Mar 28, 1971",100.0,84.0,1971.0,taking off
Dreamchild,https://www.rottentomatoes.com/m/dreamchild,1985,100.0,80.0,1985.0,dreamchild
"Give 'Em Hell, Harry!",https://www.rottentomatoes.com/m/give_em_hell_harry,"Released Sep 18, 1975",100.0,82.0,1975.0,give em hell harry
A Brighter Summer Day,https://www.rottentomatoes.com/m/a_brighter_summer_day,1991,100.0,94.0,1991.0,a brighter summer day
Death of a Salesman,https://www.rottentomatoes.com/m/death_of_a_salesman,"Released Dec 20, 1951",100.0,77.0,1951.0,death of a salesman
The Big Doll House,https://www.rottentomatoes.com/m/big_doll_house,1971,100.0,50.0,1971.0,the big doll house
The In-Between,https://www.rottentomatoes.com/m/the_in_between,2019,100.0,78.0,2019.0,the inbetween
Toy Story 2,https://www.rottentomatoes.com/m/toy_story_2,"Released Nov 24, 1999",100.0,87.0,1999.0,toy story 2
Roger & Me,https://www.rottentomatoes.com/m/roger_and_me,"Released Dec 20, 1989",100.0,79.0,1989.0,roger me
Infra-Man,https://www.rottentomatoes.com/m/super_inframan,1975,100.0,75.0,1975.0,inframan
The Man From Hong Kong,https://www.rottentomatoes.com/m/man_from_hong_kong,1976,100.0,63.0,1976.0,the man from hong kong
Stop Making Sense,https://www.rottentomatoes.com/m/stop_making_sense,"Released Oct 18, 1984",100.0,97.0,1984.0,stop making sense
Is That Black Enough for You?!?,https://www.rottentomatoes.com/m/is_that_black_enough_for_you,"Released Oct 28, 2022",100.0,62.0,2022.0,is that black enough for you
Before Sunrise,https://www.rottentomatoes.com/m/before_sunrise,"Released Jan 27, 1995",100.0,93.0,1995.0,before sunrise
Accused,https://www.rottentomatoes.com/m/accused,2023,100.0,,2023.0,accused
The New Land,https://www.rottentomatoes.com/m/the_new_land,"Released Feb 26, 1972",100.0,86.0,1972.0,the new land
Hamlet,https://www.rottentomatoes.com/m/hamlet,2009,100.0,91.0,2009.0,hamlet
The Terminator,https://www.rottentomatoes.com/m/the_terminator,"Released Oct 26, 1984",100.0,89.0,1984.0,the terminator
Black Friday,https://www.rottentomatoes.com/m/black_friday,"Released Apr 12, 1940",100.0,52.0,1940.0,black friday
Normal,https://www.rottentomatoes.com/m/normal,2003,100.0,76.0,2003.0,normal
The Woman in Black,https://www.rottentomatoes.com/m/woman_in_black,1989,100.0,78.0,1989.0,the woman in black
That's Entertainment! III,https://www.rottentomatoes.com/m/thats_entertainment_iii,"Released May 6, 1994",100.0,83.0,1994.0,thats entertainment iii
Bulletproof,https://www.rottentomatoes.com/m/bulletproof,"Released Oct 29, 2021",100.0,,2021.0,bulletproof
Sleeper,https://www.rottentomatoes.com/m/sleeper,"Released Apr 1, 1973",100.0,81.0,1973.0,sleeper
Mixtape,https://www.rottentomatoes.com/m/mixtape,2021,100.0,78.0,2021.0,mixtape
Broadway Danny Rose,https://www.rottentomatoes.com/m/broadway_danny_rose,"Released Jan 27, 1984",100.0,84.0,1984.0,broadway danny rose
Divine Madness,https://www.rottentomatoes.com/m/divine_madness,1980,100.0,90.0,1980.0,divine madness
The Scent of Green Papaya,https://www.rottentomatoes.com/m/the_scent_of_green_papaya,"Released Jan 28, 1994",100.0,82.0,1994.0,the scent of green papaya
The Disenchanted,https://www.rottentomatoes.com/m/disenchanted,1991,100.0,42.0,1991.0,the disenchanted
The Clock,https://www.rottentomatoes.com/m/clock,"Released May 25, 1945",100.0,83.0,1945.0,the clock
World's Best,https://www.rottentomatoes.com/m/worlds_best,2023,100.0,81.0,2023.0,worlds best
Love Streams,https://www.rottentomatoes.com/m/love_streams,"Released Aug 24, 1984",100.0,88.0,1984.0,love streams
